EmployeeId,billable,nonbillable,total,billable_ratio
1172,5905.410000000004,3465.6800000000003,9371.090000000004,63.02
1173,608.4000000000001,241.95000000000002,850.3500000000001,71.55
1174,1514.5999999999995,2595.6500000000005,4110.25,36.85
1175,6202.740000000002,3736.27,9939.010000000002,62.41
1177,3088.2899999999963,2485.0500000000006,5573.3399999999965,55.41
1180,291.5,155.9,447.4,65.15
1181,638.5100000000001,462.64,1101.15,57.99
1182,3581.010000000001,4497.7300000000005,8078.740000000002,44.33
1186,4710.27,4032.4199999999996,8742.69,53.88
1190,2887.319999999998,3115.1700000000005,6002.489999999998,48.1
1191,3170.119999999999,2901.6700000000005,6071.789999999999,52.21
1192,2831.699999999999,4279.6,7111.299999999999,39.82
1194,3080.51,2867.25,5947.76,51.79
1195,856.77,755.3,1612.07,53.15
1198,924.2199999999999,41.25,965.4699999999999,95.73
1203,5297.219999999999,5541.31,10838.529999999999,48.87
1204,788.73,328.0,1116.73,70.63
1206,1221.95,1218.38,2440.33,50.07
1207,98.25,0.0,98.25,100.0
1208,5150.52,3667.9499999999994,8818.47,58.41
1209,4.25,0.0,4.25,100.0
1211,3365.3499999999976,3613.2499999999995,6978.599999999997,48.22
1212,267.59,346.9,614.49,43.55
1213,797.9000000000001,863.5,1661.4,48.03
1214,7938.600000000016,6190.839999999999,14129.440000000015,56.18
1216,2310.5899999999997,1335.66,3646.25,63.37
1218,350.2,709.2,1059.4,33.06
1219,690.8000000000001,1545.9,2236.7000000000003,30.88
