ClientNum,billable,nonbillable,total,billable_ratio
CLT2229,572.6899999999996,0.0,572.6899999999996,100.0
CLT3526,28.45,0.0,28.45,100.0
CLT1925,190.75,0.0,190.75,100.0
CLT1984,166.0,0.0,166.0,100.0
CLT2652,18.849999999999998,0.0,18.849999999999998,100.0
CLT3324,144.55,0.0,144.55,100.0
CLT3797,22.15,0.0,22.15,100.0
CLT1370,33.050000000000004,0.0,33.050000000000004,100.0
CLT4009,605.5,0.0,605.5,100.0
CLT3049,91.5,0.0,91.5,100.0
CLT2943,54.5,0.0,54.5,100.0
CLT3622,54.5,0.0,54.5,100.0
CLT1801,376.0499999999999,0.0,376.0499999999999,100.0
CLT1382,13.2,0.0,13.2,100.0
CLT2742,24.099999999999998,0.0,24.099999999999998,100.0
CLT2761,89.20000000000005,0.0,89.20000000000005,100.0
CLT3532,36.35,0.0,36.35,100.0
CLT2346,32.63,0.0,32.63,100.0
CLT2821,290.3,0.0,290.3,100.0
CLT1471,2.0,0.0,2.0,100.0
CLT2148,35.7,0.0,35.7,100.0
CLT2104,41.0,0.0,41.0,100.0
CLT3259,53.9,0.0,53.9,100.0
CLT2197,36.89999999999999,0.0,36.89999999999999,100.0
CLT3187,272.00000000000006,0.0,272.00000000000006,100.0
CLT1235,4.5,0.0,4.5,100.0
CLT2844,85.0,0.0,85.0,100.0
CLT1665,38.25,0.0,38.25,100.0
CLT1407,156.84000000000012,0.0,156.84000000000012,100.0
CLT3884,46.9,0.0,46.9,100.0
CLT3347,235.0,0.0,235.0,0.0
CLT3421,0.25,0.0,0.25,100.0
CLT2310,12.0,0.0,12.0,100.0
CLT1048,236.7,0.0,236.7,100.0
CLT1133,91.72000000000001,0.0,91.72000000000001,100.0
CLT2867,48.25000000000001,0.0,48.25000000000001,100.0
CLT2270,24.0,0.0,24.0,100.0
CLT1702,19.0,0.0,19.0,100.0
CLT3540,20.500000000000007,0.0,20.500000000000007,100.0
CLT3492,21.25,0.0,21.25,100.0
CLT1669,44.5,0.0,44.5,100.0
CLT3229,221.25,0.0,221.25,100.0
CLT2877,49.24999999999999,0.0,49.24999999999999,100.0
CLT1664,37.5,0.0,37.5,100.0
CLT1180,13.05,0.0,13.05,100.0
CLT3818,27.25,0.0,27.25,100.0
CLT2691,38.25,0.0,38.25,100.0
CLT3416,237.0,0.0,237.0,100.0
CLT3946,188.75,0.0,188.75,100.0
CLT1309,87.40999999999998,0.0,87.40999999999998,100.0
CLT1058,55.25,0.0,55.25,100.0
CLT1991,134.5,0.0,134.5,100.0
CLT3272,42.75,0.0,42.75,100.0
CLT2195,33.45,0.0,33.45,100.0
CLT1115,4.75,0.0,4.75,100.0
CLT2462,36.75,0.0,36.75,100.0
CLT1141,23.3,0.0,23.3,100.0
CLT1798,58.75,0.0,58.75,100.0
CLT1246,10.85,0.0,10.85,100.0
CLT1958,12.55,0.0,12.55,100.0
CLT1881,394.5,0.0,394.5,100.0
CLT2551,33.75,0.0,33.75,100.0
CLT3443,1.0,0.0,1.0,100.0
CLT3397,9.58,0.0,9.58,100.0
CLT3760,15.35,0.0,15.35,100.0
CLT1676,106.25,0.0,106.25,100.0
CLT2296,23.25,0.0,23.25,100.0
CLT3217,93.75,0.0,93.75,100.0
CLT1358,61.75000000000002,0.0,61.75000000000002,100.0
CLT1222,190.75,0.0,190.75,100.0
CLT1674,23.34999999999999,0.0,23.34999999999999,100.0
CLT2319,0.5,0.0,0.5,100.0
CLT3621,22.6,0.0,22.6,100.0
CLT1342,136.36,0.0,136.36,100.0
CLT3573,12.5,0.0,12.5,100.0
CLT3733,17.85,0.0,17.85,100.0
CLT2861,11.5,0.0,11.5,100.0
